,Day,Date,"year, time",Bt,P,P_bat,K,C_cat,X_bat,X_cat,rate
0,Sunday, May 24, 2020 5:22 PM;8945,700,8019.80198019802,40500.0,0.801980198019802,10735.0,10735.0,2687.12871287129,-2.8388
1,Sunday, May 24, 2020 5:23 PM;8945,600,4600.37423148891,8519.80198019802,0.460037423148891,2687.12871287129,2687.12871287129,1726.97139802192,-1.8783
2,Sunday, May 24, 2020 5:24 PM;8945,654,3377.64756906029,5100.37423148891,0.337764756906029,1726.97139802192,1726.97139802192,1364.55947460192,-1.0865
3,Sunday, May 24, 2020 5:25 PM;8945,700,2794.1677793471,3877.64756906029,0.27941677793471,1364.55947460192,1364.55947460192,1178.87040746267,-0.6841
4,Sunday, May 24, 2020 5:26 PM;8945,700,2477.90447211347,3294.1677793471,0.247790447211347,1178.87040746267,1178.87040746267,1060.21089504122,-0.5146
5,Sunday, May 24, 2020 5:27 PM;8954,96,2294.59577122971,2977.90447211347,0.22945957712297,1060.21089504122,1060.21089504122,838.963470807701,-7.7392
6,Sunday, May 24, 2020 5:28 PM;8960,712,2184.20012730196,2794.59577122971,0.218420012730196,838.963470807701,838.963470807701,811.232107897613,-0.1394
7,Sunday, May 24, 2020 5:29 PM;8944,700,2116.17610914572,2684.20012730196,0.211617610914572,811.232107897613,811.232107897613,787.693434967328,-0.1253
8,Sunday, May 24, 2020 5:30 PM;8941,768,2073.6680326214,2616.17610914572,0.207366803262139,787.693434967328,787.693434967328,783.609670312902,-0.0203
9,Sunday, May 24, 2020 5:31 PM;8955,700,2046.8713075168,2573.6680326214,0.20468713075168,783.609670312902,783.609670312902,766.49584679346,-0.095
10,Sunday, May 24, 2020 5:32 PM;8959,700,2029.88557473366,2546.8713075168,0.202988557473366,766.49584679346,766.49584679346,752.997950774886,-0.0757
11,Sunday, May 24, 2020 5:33 PM;8961,93,2019.08114774419,2529.88557473366,0.201908114774418,752.997950774886,752.997950774886,619.73900877895,-5.6639
12,Sunday, May 24, 2020 5:34 PM;8955,400,2012.19332155069,2519.08114774419,0.201219332155068,619.73900877895,619.73900877895,575.523272184033,-0.4388
13,Sunday, May 24, 2020 5:35 PM;8953,500,2007.79612094368,2512.19332155069,0.200779612094368,575.523272184033,575.523272184033,560.359738890826,-0.1207
14,Sunday, May 24, 2020 5:36 PM;8948,500,2004.98640743313,2507.79612094368,0.200498640743312,560.359738890826,560.359738890826,548.257693287594,-0.0965
15,Sunday, May 24, 2020 5:37 PM;8948,600,2003.19002821477,2504.98640743313,0.200319002821478,548.257693287594,548.257693287594,558.622660571906,0.069
